molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL21237,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](C(=O)NO)C(=O)C(N)CNC(=O)OCc2ccccc2)cc1,14,active,614.633,1.3116,4,11,14,7.853871964
CHEMBL20653,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2cncn2C(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)NO)cc1,36,active,716.816,5.7682,2,9,36,7.443697499
CHEMBL430335,COc1ccc(S(=O)(=O)N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](Cc2cccs2)C(=O)NO)cc1,590,active,582.544,5.1019,2,6,590,6.229147988
CHEMBL20383,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2ccc(Br)s2)C(=O)O)cc1,670,active,554.44,4.1347,1,7,670,6.173925197
CHEMBL20487,COc1ccc(S(=O)(=O)N(Cc2sccc2Oc2ccccc2)[C@H](C)C(=O)NO)cc1,40,active,462.549,3.6338,2,7,40,7.397940009
CHEMBL21067,COc1ccc(S(=O)(=O)N(Cc2sc3scc(C)c3c2C)[C@H](C)C(=O)NO)cc1,60,active,454.595,3.67304,2,7,60,7.22184875
CHEMBL418744,COc1ccc(S(=O)(=O)N(Cc2cccc(C)c2F)[C@H](Cc2cccs2)C(=O)NO)cc1,150,active,478.567,3.51182,2,6,150,6.823908741
CHEMBL280211,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2ccncc2)C(=O)O)cc1,592,active,470.503,2.7057,1,7,592,6.227678293
CHEMBL276883,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](C(=O)NO)C(=O)C(N)CNC(=O)OCc2ccccc2Br)cc1,18,active,693.529,2.0741,4,11,18,7.744727495
CHEMBL282896,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2cccs2)C(=O)NO)cc1,0.2,active,490.559,2.793,2,8,0.2,9.698970004
CHEMBL21559,COc1ccc(S(=O)(=O)N(Cc2ccc(Br)cc2)[C@H](Cc2cccs2)C(=O)NO)cc1,70,active,525.446,3.8268,2,6,70,7.15490196
CHEMBL279655,C#CC[C@H](C(=O)O)N(Cc1ccc2c(c1)OCO2)S(=O)(=O)c1ccc(OC)cc1,10,active,417.439,2.0913,1,6,10,8
CHEMBL21235,CCCCN(C)C(=N)NCCCC[C@H](C(=O)O)N(Cc1ccc2c(c1)OCO2)S(=O)(=O)c1ccc(OC)cc1,200,active,562.689,3.49457,3,7,200,6.698970004
CHEMBL280337,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](COC(C)(C)C)C(=O)NO)cc1,23,active,480.539,2.3039,2,8,23,7.638272164
CHEMBL20484,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2ccc([N+](=O)[O-])cc2)C(=O)NO)cc1,32,active,529.527,2.6397,2,9,32,7.494850022
CHEMBL21593,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](C(=O)O)C2CCN(C(=O)OC(C)(C)C)CC2)cc1,26,active,562.641,3.7151,1,8,26,7.585026652
CHEMBL281582,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](CCCCNC(=O)OCc2ccccc2)C(=O)NO)cc1,16,active,599.662,3.5855,3,9,16,7.795880017
CHEMBL284023,COc1ccc(S(=O)(=O)N(Cc2cccc(C)c2[N+](=O)[O-])[C@H](C)C(=O)O)cc1,380,active,408.432,2.57582,1,6,380,6.420216403
CHEMBL21543,COc1ccc(S(=O)(=O)N(Cc2cccc3ccccc23)[C@H](C)C(=O)NO)cc1,90,active,414.483,2.9332,2,5,90,7.045757491
CHEMBL277173,COc1ccc(S(=O)(=O)N(Cc2cccc(Br)c2)[C@H](C)C(=O)NO)cc1,93,active,443.319,2.5425,2,5,93,7.031517051
CHEMBL20882,C=Cc1ccc(CN([C@H](Cc2cccs2)C(=O)NO)S(=O)(=O)c2ccc(OC)cc2)cc1,190,active,472.588,3.7073,2,6,190,6.721246399
CHEMBL21132,COc1ccc(S(=O)(=O)N(Cc2cccc(F)c2F)[C@H](Cc2cccs2)C(=O)NO)cc1,100,active,482.53,3.3425,2,6,100,7
CHEMBL21160,COc1ccc(S(=O)(=O)N(Cc2ccc(-c3cnns3)cc2)[C@H](Cc2cccs2)C(=O)NO)cc1,440,active,530.653,3.5828,2,9,440,6.356547324
CHEMBL282484,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](C(=O)NO)C(=O)C(N)CNC(=O)OCc2ccccc2Cl)cc1,4.6,active,649.078,1.965,4,11,4.6,8.337242168
CHEMBL418009,COc1ccc(S(=O)(=O)N(Cc2cnc(Cl)s2)[C@H](C)C(=O)NO)cc1,180,active,405.885,1.8899,2,7,180,6.744727495
CHEMBL279004,COc1ccc(S(=O)(=O)N(Cc2ccc(I)cc2)[C@H](Cc2cccs2)C(=O)NO)cc1,360,active,572.446,3.6689,2,6,360,6.443697499
CHEMBL21660,COc1ccc(S(=O)(=O)N(Cc2cccc(Cl)c2)[C@H](Cc2cccs2)C(=O)NO)cc1,390,active,480.995,3.7177,2,6,390,6.408935393
CHEMBL281165,C=CCOc1ccc2ccc(CN([C@H](C)C(=O)NO)S(=O)(=O)c3ccc(OC)cc3)cc2c1,130,active,470.547,3.498,2,6,130,6.886056648
CHEMBL277469,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2cncn2Cc2ccccc2)C(=O)NO)cc1,27,active,564.62,2.9763,2,9,27,7.568636236
CHEMBL21163,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](CCCNC(=O)OC(C)(C)C)C(=O)NO)cc1,52,active,551.618,2.7937,3,9,52,7.283996656
CHEMBL279521,COC(=O)c1ccc(CN([C@H](Cc2cccs2)C(=O)O)S(=O)(=O)c2ccc(OC)cc2)cc1,210,active,489.571,3.4301,1,7,210,6.677780705
CHEMBL283329,COc1ccc(CSC[C@H](C(=O)O)N(Cc2ccc3c(c2)OCO3)S(=O)(=O)c2ccc(OC)cc2)cc1,250,active,545.635,4.01,1,8,250,6.602059991
CHEMBL21492,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](C(=O)NO)C(C)C)cc1,53,active,436.486,2.1448,2,7,53,7.27572413
CHEMBL279723,COc1ccc(S(=O)(=O)N(Cc2ccc(C(C)C)cc2)[C@H](C)C(=O)O)cc1,350,active,391.489,3.4826,1,4,350,6.455931956
CHEMBL280116,COc1ccc(S(=O)(=O)N(Cc2ccc(Cl)c([N+](=O)[O-])c2)[C@H](C)C(=O)NO)cc1,30,inactive,443.865,2.3416,2,7,30,7.522878745
CHEMBL117225,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,52000,active,557.735,5.90472,4,4,52000,4.283996656
CHEMBL84212,CC[C@H](C)[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NO,730,active,466.538,3.0417,5,5,730,6.13667714
CHEMBL83631,CC[C@@H](C)[C@@H](NS(=O)(=O)c1cc(Cl)ccc1Cl)C(=O)N[C@H](Cc1cscn1)C(=O)NO,29,inactive,509.437,2.3758,4,7,29,7.537602002
CHEMBL311264,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NO,280000,inactive,295.295,-0.939,5,5,280000,3.552841969
CHEMBL81890,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C(=O)NO,800000,inactive,302.335,-2.4452,6,5,800000,3.096910013
CHEMBL278678,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)NO)OCc1ccccc1,67000,active,353.378,2.5108,4,4,67000,4.173925197
CHEMBL311222,CC[C@H](C)[C@H](NS(=O)(=O)c1cc(Cl)ccc1Cl)C(=O)N[C@@H](CNC(=O)OCc1ccccc1)C(=O)NO,65,inactive,575.471,2.603,5,7,65,7.187086643
CHEMBL310345,O=C(CCCNC(=O)OCc1ccccc1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO,19000,inactive,438.484,2.4072,5,5,19000,4.721246399
CHEMBL3142487,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO)OCc1ccccc1,17000,active,500.555,3.2383,5,5,17000,4.769551079
CHEMBL314032,CC[C@@H](C)[C@@H](NCN(Cc1ccc(F)cc1)C(=O)c1ccc(Br)cc1)C(=O)N[C@H](Cc1cscn1)C(=O)NO,89,active,620.545,3.8818,4,7,89,7.050609993
CHEMBL83699,CC[C@H](C)[C@@H](Nc1cccc(C(F)(F)F)c1)C(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)NO,2800,active,476.499,4.2462,5,4,2800,5.552841969
CHEMBL84287,CC[C@@H](C)[C@@H](NC(=O)OCc1ccccc1)C(=O)NCC(NCc1ccccc1)C(=O)NO,94,inactive,456.543,2.1075,5,6,94,7.026872146
CHEMBL2369943,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NO,65000,inactive,458.471,-0.5059,7,7,65000,4.187086643
CHEMBL82748,CNC(=O)C1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(=O)O)CC(=O)NO,22000,inactive,429.43,-2.5399,6,7,22000,4.657577319
CHEMBL84178,CC[C@H](C)[C@@H](NC(=O)Nc1cc(Cl)cc(Cl)c1)C(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)NO,5100,inactive,520.417,4.2438,6,4,5100,5.292429824
CHEMBL431414,CC[C@H](C)[C@@H](Nc1cccc(Br)c1)C(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)NO,15000,active,487.398,3.9899,5,4,15000,4.823908741
CHEMBL81901,CC[C@@H](C)[C@@H](NC(=O)OCc1ccccc1)C(=O)NCC(NC(=O)OCc1ccccc1)C(=O)NO,61,active,500.552,2.2441,5,7,61,7.214670165
CHEMBL314390,CC[C@@H](C)[C@H](NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1cscn1)C(=O)NO,67,active,620.732,3.2257,6,8,67,7.173925197
CHEMBL313625,CCCC(NC(=O)OCc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NO,870,inactive,452.511,2.7957,5,5,870,6.060480747
CHEMBL83145,O=C(N[C@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO)OCc1ccccc1,20000,active,516.554,2.9439,6,6,20000,4.698970004
CHEMBL86076,CC[C@@H](C)[C@H](NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1cscn1)C(=O)NO,44,inactive,581.695,2.7444,5,8,44,7.356547324
CHEMBL309468,CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(=O)O)CC(=O)NO,68000,active,332.313,-2.5309,6,6,68000,4.167491087
CHEMBL84324,CC[C@H](C)[C@@H](Nc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)NO,750,active,477.392,4.5342,5,4,750,6.124938737
CHEMBL315775,CC[C@@H](C)[C@@H](NC(=O)OCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](Cc1cscn1)C(=O)NO,73,active,503.408,3.3237,4,7,73,7.13667714
CHEMBL312424,CC(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NO,1900,active,452.511,2.6516,5,5,1900,5.721246399
CHEMBL226641,O=C(C[C@@H](CCCC1CCCCC1)c1nc(-c2ccccc2)no1)NO,116,active,357.454,4.4663,2,5,116,6.935542011
CHEMBL226942,O=C(C[C@@H](CCCC1CCCCC1)c1nc(C(=O)NS(=O)(=O)c2ccc(F)cc2)no1)NO,33,active,482.534,3.0571,3,8,33,7.48148606
